cluster,rank,term
0,1,psa
0,2,patients
0,3,arthritis
0,4,psoriatic arthritis
0,5,psoriatic
0,6,disease
0,7,mri
0,8,psoriasis
0,9,enthesitis
0,10,dapsa
0,11,disease activity
0,12,vs
0,13,activity
0,14,jia
0,15,study
1,1,sup
1,2,cell
1,3,autoimmune
1,4,arthritis
1,5,diseases
1,6,immune
1,7,inflammatory
1,8,cells
1,9,receptor
1,10,ra
1,11,therapeutic
1,12,psoriasis
1,13,il
1,14,rheumatic
1,15,disease
2,1,case
2,2,psoriasis
2,3,report
2,4,patient
2,5,biologic
2,6,mtx
2,7,year
2,8,case report
2,9,therapy
2,10,rare
2,11,treatment
2,12,year old
2,13,old
2,14,inhibitors
2,15,lesions
3,1,psoriasis
3,2,patients
3,3,treatment
3,4,risk
3,5,il
3,6,study
3,7,pasi
3,8,disease
3,9,severe
3,10,moderate
3,11,moderate severe
3,12,patients psoriasis
3,13,95
3,14,ci
3,15,plaque
4,1,skin
4,2,psoriasis
4,3,inflammatory
4,4,therapeutic
4,5,dermatitis
4,6,atopic dermatitis
4,7,review
4,8,atopic
4,9,barrier
4,10,immune
4,11,studies
4,12,inflammation
4,13,il
4,14,diseases
4,15,clinical
