topic,rank,word
0,1,patients
0,2,treatment
0,3,psoriasis
0,4,arthritis
0,5,safety
0,6,clinical
0,7,il
0,8,pasi
0,9,severe
0,10,associated
0,11,case
0,12,psoriatic
0,13,adverse
0,14,study
0,15,week
1,1,psoriasis
1,2,patients
1,3,disease
1,4,study
1,5,psa
1,6,sup
1,7,inflammatory
1,8,risk
1,9,arthritis
1,10,psoriatic
1,11,higher
1,12,95
1,13,age
1,14,using
1,15,ci
2,1,psoriasis
2,2,skin
2,3,95
2,4,ci
2,5,analysis
2,6,study
2,7,hla
2,8,genetic
2,9,risk
2,10,sup
2,11,disease
2,12,sub
2,13,autoimmune
2,14,patients
2,15,included
3,1,skin
3,2,inflammatory
3,3,psoriasis
3,4,il
3,5,immune
3,6,therapeutic
3,7,inflammation
3,8,diseases
3,9,treatment
3,10,clinical
3,11,cell
3,12,cells
3,13,pathways
3,14,including
3,15,potential
4,1,psoriasis
4,2,case
4,3,psoriatic
4,4,gut
4,5,disease
4,6,skin
4,7,patient
4,8,report
4,9,systemic
4,10,arthritis
4,11,potential
4,12,stem
4,13,associated
4,14,patients
4,15,therapeutic
