class,rank,term,weight
clinical_comorbidity,1,patients,0.7848687610976149
clinical_comorbidity,2,arthritis,0.6262748424777265
clinical_comorbidity,3,psa,0.6147592843011388
clinical_comorbidity,4,psychological,0.4323235985729395
clinical_comorbidity,5,sleep,0.38572751228210694
clinical_comorbidity,6,health,0.38493718781634967
clinical_comorbidity,7,severity,0.37223418186312957
clinical_comorbidity,8,psoriatic arthritis,0.34669832505946585
clinical_comorbidity,9,psoriatic,0.3423283763371786
clinical_comorbidity,10,years,0.3415682716670195
clinical_comorbidity,11,anxiety,0.32147392369007205
clinical_comorbidity,12,quality,0.3085326984443729
clinical_comorbidity,13,life,0.30295538968099545
clinical_comorbidity,14,axspa,0.2964848066599986
clinical_comorbidity,15,disease,0.2946757564536081
genetics_molecular,1,genetic,0.7840547904167808
genetics_molecular,2,mmf,0.699496710822385
genetics_molecular,3,generalized,0.6491573389492766
genetics_molecular,4,lipids,0.5414525491382647
genetics_molecular,5,sup,0.5053183979401145
genetics_molecular,6,causal,0.4980061123623233
genetics_molecular,7,oxide,0.46909732548228517
genetics_molecular,8,nitric,0.46909732548228517
genetics_molecular,9,nitric oxide,0.46909732548228517
genetics_molecular,10,genes,0.43913011893803333
genetics_molecular,11,fumarate,0.43620137005053516
genetics_molecular,12,cholesterol,0.4288826487729126
genetics_molecular,13,generalized pustular,0.42014681042554514
genetics_molecular,14,gwas,0.4120879379453263
genetics_molecular,15,dermatitis,0.3811054339231367
immune_inflammation,1,il,1.0273261804347014
immune_inflammation,2,inflammatory,0.9082815743532109
immune_inflammation,3,cells,0.6213244431787186
immune_inflammation,4,inflammation,0.5989821346295853
immune_inflammation,5,neutrophil,0.5722635577080715
immune_inflammation,6,sub,0.5529538946452346
immune_inflammation,7,anti,0.5035830360159944
immune_inflammation,8,cell,0.4261629664321931
immune_inflammation,9,frailty,0.42411718022225264
immune_inflammation,10,immune,0.4162191905684485
immune_inflammation,11,keratinocytes,0.4099226731409502
immune_inflammation,12,keratinocyte,0.4028601519052329
immune_inflammation,13,02,0.38026298159779076
immune_inflammation,14,vitamin,0.37912976261448156
immune_inflammation,15,epidermal,0.3771480086624862
therapy_treatment,1,efficacy,0.7326545516338229
therapy_treatment,2,biologic,0.6986302974273686
therapy_treatment,3,therapy,0.6276371076731218
therapy_treatment,4,treatment,0.6097486477277493
therapy_treatment,5,mtx,0.5087851536243215
therapy_treatment,6,switching,0.5053071613795056
therapy_treatment,7,paradoxical,0.49670191251481305
therapy_treatment,8,guselkumab,0.46860588002394155
therapy_treatment,9,biologics,0.4417338929543016
therapy_treatment,10,therapies,0.42740136947525814
therapy_treatment,11,therapeutic,0.41021175372099716
therapy_treatment,12,alternative,0.39008667307743644
therapy_treatment,13,moderate severe,0.38839402377739723
therapy_treatment,14,methotrexate,0.38756853977915284
therapy_treatment,15,safety,0.3795484631449894
