Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
cyclin B1,CCNB1,3.005,1.77E-33,Cytoplasm,enzyme,,,,,,,,,,,,,,
cyclin dependent kinase 1,CDK1,2.343,1.14E-20,Nucleus,kinase,,,,,,,,,,,,,,
cytochrome P450 family 1 subfamily A member 1,CYP1A1,-4.622,3.76E-17,Cytoplasm,enzyme,,,,,,,,,,,,,,
cytochrome P450 family 1 subfamily B member 1,CYP1B1,-2.072,1.56E-07,Cytoplasm,enzyme,,,,,,,,,,,,,,
cytochrome P450 family 2 subfamily E member 1,CYP2E1,2.151,1.74E-18,Cytoplasm,enzyme,,,,,,,,,,,,,,
matrix metallopeptidase 9,MMP9,2.043,5.60E-12,Extracellular Space,peptidase,,,,,,,,,,,,,,
phosphoinositide-3-kinase regulatory subunit 1,PIK3R1,-2.107,3.30E-27,Cytoplasm,kinase,,,,,,,,,,,,,,
UDP glucuronosyltransferase family 1 member A9,UGT1A9,2.027,2.11E-08,Cytoplasm,enzyme,,,,,,,,,,,,,,
ATP binding cassette subfamily A member 9,ABCA9,-2.325,9.11E-18,Other,transporter,,,,,,,,,,,,,,
acetyl-CoA carboxylase beta,ACACB,-2.716,1.75E-22,Cytoplasm,enzyme,,,,,,,,,,,,,,
atypical chemokine receptor 1 (Duffy blood group),ACKR1,-2.129,2.54E-13,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
acid phosphatase 3,ACP3,2.635,2.37E-46,Extracellular Space,phosphatase,,,,,,,,,,,,,,
"acid phosphatase 5, tartrate resistant",ACP5,2.029,2.84E-38,Cytoplasm,phosphatase,,,,,,,,,,,,,,
acyl-CoA synthetase bubblegum family member 1,ACSBG1,-2.324,1.69E-08,Cytoplasm,enzyme,,,,,,,,,,,,,,
"actin alpha 2, smooth muscle",ACTA2,-2.424,4.02E-16,Cytoplasm,other,,,,,,,,,,,,,,
activin A receptor type 1C,ACVR1C,-3.952,5.39E-19,Plasma Membrane,kinase,,,,,,,,,,,,,,
ADAM like decysin 1,ADAMDEC1,4.642,2.24E-41,Extracellular Space,peptidase,,,,,,,,,,,,,,
ADAM metallopeptidase with thrombospondin type 1 motif 1,ADAMTS1,-2.512,5.41E-18,Extracellular Space,peptidase,,,,,,,,,,,,,,
ADAM metallopeptidase with thrombospondin type 1 motif 9,ADAMTS9,-2.349,1.27E-11,Extracellular Space,peptidase,,,,,,,,,,,,,,
ADAM metallopeptidase with thrombospondin type 1 motif 15,ADAMTS15,-2.171,7.31E-12,Extracellular Space,peptidase,,,,,,,,,,,,,,
ArfGAP with dual PH domains 2,ADAP2,2.715,8.16E-74,Cytoplasm,other,,,,,,,,,,,,,,
"alcohol dehydrogenase 1B (class I), beta polypeptide",ADH1B,-2.451,7.24E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
"adiponectin, C1Q and collagen domain containing",ADIPOQ,-3.362,9.57E-09,Extracellular Space,other,,,,,,,,,,,,,,
adrenomedullin,ADM,-2.547,6.88E-26,Extracellular Space,other,,,,,,,,,,,,,,
adrenoceptor beta 1,ADRB1,-2.074,5.92E-16,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
adrenoceptor beta 2,ADRB2,-3.568,4.69E-41,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
AFTPH divergent transcript,AFTPH-DT,2.093,1.50E-29,Other,other,,,,,,,,,,,,,,
angiotensin II receptor type 1,AGTR1,-2.642,5.06E-11,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
AHNAK nucleoprotein 2,AHNAK2,-2.572,3.29E-19,Cytoplasm,other,,,,,,,,,,,,,,
absent in melanoma 2,AIM2,2.776,3.15E-18,Cytoplasm,other,,,,,,,,,,,,,,
A-kinase anchoring protein 12,AKAP12,-2.19,4.92E-15,Cytoplasm,transporter,,,,,,,,,,,,,,
aldo-keto reductase family 1 member B10,AKR1B10,4.823,7.44E-57,Cytoplasm,enzyme,,,,,,,,,,,,,,
aldehyde dehydrogenase 3 family member B2,ALDH3B2,2.46,6.31E-12,Cytoplasm,enzyme,,,,,,,,,,,,,,
"arachidonate 12-lipoxygenase, 12R type",ALOX12B,2.349,6.60E-27,Cytoplasm,enzyme,,,,,,,,,,,,,,
AMMECR nuclear protein 1,AMMECR1,2.502,2.50E-14,Nucleus,other,,,,,,,,,,,,,,
amine oxidase copper containing 3,AOC3,-2.365,3.64E-11,Plasma Membrane,enzyme,,,,,,,,,,,,,,
apolipoprotein B mRNA editing enzyme catalytic subunit 3A,APOBEC3A,3.461,4.34E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
apolipoprotein B mRNA editing enzyme catalytic subunit 3B,APOBEC3B,2.967,1.94E-29,Nucleus,enzyme,,,,,,,,,,,,,,
apolipoprotein C1,APOC1,-2.028,6.82E-19,Extracellular Space,transporter,,,,,,,,,,,,,,
apolipoprotein D,APOD,-2.068,5.05E-09,Extracellular Space,transporter,,,,,,,,,,,,,,
apolipoprotein L6,APOL6,2.407,1.02E-19,Extracellular Space,transporter,,,,,,,,,,,,,,
apolipoprotein L domain containing 1,APOLD1,-3.277,5.04E-26,Cytoplasm,other,,,,,,,,,,,,,,
arginase 1,ARG1,2.757,9.25E-24,Cytoplasm,enzyme,,,,,,,,,,,,,,
arylsulfatase F,ARSF,2.847,2.02E-30,Extracellular Space,enzyme,,,,,,,,,,,,,,
assembly factor for spindle microtubules,ASPM,2.341,2.44E-21,Nucleus,other,,,,,,,,,,,,,,
activating transcription factor 3,ATF3,-3.475,2.09E-23,Nucleus,transcription regulator,,,,,,,,,,,,,,
autophagy related 9B,ATG9B,2.043,2.07E-17,Cytoplasm,transporter,,,,,,,,,,,,,,
ATPase phospholipid transporting 10B (putative),ATP10B,2.042,1.25E-26,Plasma Membrane,transporter,,,,,,,,,,,,,,
ATPase H+/K+ transporting non-gastric alpha2 subunit,ATP12A,4.871,4.62E-32,Plasma Membrane,transporter,,,,,,,,,,,,,,
ATPase Na+/K+ transporting subunit alpha 2,ATP1A2,-2.112,1.19E-11,Plasma Membrane,enzyme,,,,,,,,,,,,,,
ATPase H+ transporting V0 subunit a4,ATP6V0A4,-2.845,6.40E-28,Cytoplasm,transporter,,,,,,,,,,,,,,
aurora kinase A,AURKA,2.346,1.93E-25,Nucleus,kinase,,,,,,,,,,,,,,
aurora kinase B,AURKB,2.215,9.10E-32,Nucleus,kinase,,,,,,,,,,,,,,
BTB domain and CNC homolog 2,BACH2,-2.008,8.25E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
BAG cochaperone 4,BAG4,-2.2,1.25E-30,Cytoplasm,other,,,,,,,,,,,,,,
Bardet-Biedl syndrome 2,BBS2,-2.046,6.37E-12,Cytoplasm,other,,,,,,,,,,,,,,
"BCAR3 adaptor protein, NSP family member",BCAR3,-2.259,8.74E-41,Cytoplasm,other,,,,,,,,,,,,,,
BCL6 transcription repressor,BCL6,-2.131,1.32E-14,Nucleus,transcription regulator,,,,,,,,,,,,,,
BCL2 related protein A1,BCL2A1,2.582,9.73E-30,Cytoplasm,other,,,,,,,,,,,,,,
basic helix-loop-helix family member e40,BHLHE40,-2.135,1.05E-11,Nucleus,transcription regulator,,,,,,,,,,,,,,
basic helix-loop-helix family member e41,BHLHE41,-2.187,7.78E-16,Nucleus,transcription regulator,,,,,,,,,,,,,,
baculoviral IAP repeat containing 5,BIRC5,2.62,3.46E-34,Cytoplasm,other,,,,,,,,,,,,,,
basic helix-loop-helix ARNT like 2,BMAL2,3.294,7.59E-56,Nucleus,transcription regulator,,,,,,,,,,,,,,
BRCA1 interacting helicase 1,BRIP1,2.107,2.56E-29,Nucleus,enzyme,,,,,,,,,,,,,,
betacellulin,BTC,-3.409,6.06E-14,Extracellular Space,growth factor,,,,,,,,,,,,,,
butyrophilin like 9,BTNL9,-2.358,7.17E-19,Plasma Membrane,other,,,,,,,,,,,,,,
complement C7,C7,-2.662,5.72E-21,Extracellular Space,other,,,,,,,,,,,,,,
chromosome 11 open reading frame 96,C11orf96,-2.498,3.28E-13,Other,other,,,,,,,,,,,,,,
chromosome 12 open reading frame 56,C12orf56,2.278,1.28E-28,Other,other,,,,,,,,,,,,,,
