Gene,cooccurrence_score
SPRR2C,0
GPR15LG,0
S100A12,1
PLBD1,0
HPSE,0
FCHSD1,0
ADAP2,0
GDA,0
IGFL1,0
KYNU,0
RGS20,0
GDPD3,0
KLK8,0
CDK5R1,0
PRSS27,0
FBXO45,0
GGH,0
AKR1B10,0
CD47,0
TMPRSS11D,0
BMAL2,0
DUSP1,0
INA,0
KLK13,0
CLDN8,0
CYSRT1,0
CNFN,0
LRP8,0
MUC7,0
TMEM86A,0
JUN,0
LCE3D,0
HYAL4,0
TK1,0
POLE2,0
KLK6,0
ACP3,0
CHRNA9,0
TGM1,0
PRSS3,0
SPRR1A,0
CLEC7A,0
NDC80,0
TIAM2,0
TMC5,0
TCN1,0
TMEM45B,0
OAS2,0
CHAC2,0
EPSTI1,0
SLC7A11,0
FNBP1L,0
IL36G,1
OASL,0
ADAMDEC1,0
FAM43A,0
OAS1,0
PARP9,0
ADRB2,0
HERC6,0
BCAR3,0
IL36RN,0
SRD5A3,0
PRSS3P1,0
ZSCAN18,0
CARHSP1,0
KLF2,0
RHOB,0
PPFIBP1,0
MX1,0
NR4A1,0
PDZK1IP1,0
CD24,0
MTFR2,0
CYP4F22,0
KRT77,0
ACP5,0
CMPK2,0
CENPN,0
HES1,0
IFIT3,0
RGPD5,0
SPRR2A,0
SIK1,0
PYCARD,0
HAL,0
KLHDC7B-DT,0
OTUB2,0
SLAMF7,0
TTC39A,0
FAM13A,0
SPRR1B,0
TGM3,0
CXCL10,2
SPRY1,0
TREX2,0
FOS,0
DLGAP5,0
SLC5A1,0
CXCL9,0
NLRX1,0
BIRC5,0
PPARGC1A,0
LCN2,0
ZNF677,0
CCNB1,0
SMPD3,0
TRIP13,0
MELK,0
SAMD9,0
CD24P4,0
MKI67,0
HSD17B1,0
SMOX,0
RTP4,0
SLC6A14,0
FEN1,0
TMPRSS4,0
YIF1B,0
ATP12A,0
RASD1,0
RRM2,0
AURKB,0
TMEM54,0
POLR3G,0
ESYT3,0
IFI44L,0
IFI27,1
RSAD2,0
DNASE1L3,0
PCGF5,0
MREG,0
ZBTB10,0
BAG4,0
ZNF415,0
ARSF,0
FABP5,0
SOX5,0
GADD45B,0
SPATA20,0
KIF27,0
DDIT3,0
PCLAF,0
TRIM14,0
TYMP,0
VNN1,0
KLK10,0
BCL2A1,0
SPRR2G,0
PLCB4,0
SLC26A9,0
KMT2A,0
VNN3P,0
KLHL24,0
AFTPH-DT,0
STAT1,1
APOBEC3B,0
CDKN3,0
BRIP1,0
GBP1,1
OIP5,0
RAB27A,0
TYMS,0
