Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
S100A12,7.079,2.4300000000000002e-107,4,1,1,S100 calcium binding protein A12,Cytoplasm,other,,,,,,,,,,,,,,,7.079,2.4300000000000002e-107,106.61439372640169,0.9152847873107424,0.6786626725998527,0.5714285714285714,0.5,0.5,0.6420083398978259,1
CXCL10,5.102,2.65e-35,4,2,2,C-X-C motif chemokine ligand 10,Extracellular Space,cytokine,,,,,,,,,,,,,,,5.102,2.65e-35,34.57675412606319,0.5589401586157174,0.1992879043007172,0.5714285714285714,1.0,1.0,0.6258957220840371,2
S100A8,3.312,1.54e-16,6,2,2,S100 calcium binding protein A8,Cytoplasm,other,,,,,,,,,,,,,,,3.312,1.54e-16,15.812479279163536,0.2363013698630137,0.07442096034005537,0.8571428571428571,1.0,1.0,0.5872940854861881,3
S100A9,4.62,4.21e-21,4,2,2,S100 calcium binding protein A9,Cytoplasm,other,,,,,,,,,,,,,,,4.62,4.21e-21,20.375717904164333,0.47206200432588324,0.1047870504936137,0.5714285714285714,1.0,1.0,0.5848948777742944,4
CXCL1,3.403,3.8100000000000004e-21,2,2,2,C-X-C motif chemokine ligand 1,Extracellular Space,cytokine,,,,,,,,,,,,,,,3.403,3.8100000000000004e-21,20.419075024324382,0.252703677000721,0.10507557062761799,0.2857142857142857,1.0,1.0,0.4839524851999058,5
SPRR2C,7.549,1.25e-155,0,0,0,small proline rich protein 2C (pseudogene),Cytoplasm,other,,,,,,,,,,,,,,,7.549,1.25e-155,154.90308998699194,1.0,1.0,0.0,0.0,0.0,0.45,6
LCK,2.718,5.86e-19,7,1,1,"LCK proto-oncogene, Src family tyrosine kinase",Cytoplasm,kinase,,,,,,,,,,,,,,,2.718,5.86e-19,18.23210238398191,0.12923576063446285,0.09052235221905987,1.0,0.5,0.5,0.4234777401816575,7
IL36G,4.579,2.6e-42,1,1,1,interleukin 36 gamma,Extracellular Space,cytokine,,,,,,,,,,,,,,,4.579,2.6e-42,41.585026652029185,0.46467195385724575,0.24592448258050248,0.14285714285714285,0.5,0.5,0.35798693998800335,8
IFI27,3.204,3.89e-31,3,1,1,interferon alpha inducible protein 27,Cytoplasm,other,,,,,,,,,,,,,,,3.204,3.89e-31,30.410050398674294,0.2168348954578227,0.1715605572503453,0.42857142857142855,0.5,0.5,0.34697140411843663,9
ISG15,3.319,1.6600000000000003e-27,3,1,1,ISG15 ubiquitin like modifier,Cytoplasm,other,,,,,,,,,,,,,,,3.319,1.6600000000000003e-27,26.779891911959943,0.23756308579668345,0.14740365270554878,0.42857142857142855,0.5,0.5,0.34507781605000964,10
GAL,-3.283,1.32e-10,4,1,1,galanin and GMAP prepropeptide,Extracellular Space,other,,,,,,,,,,,,,,,3.283,1.32e-10,9.87942606879415,0.23107426099495315,0.03493943340765568,0.5714285714285714,0.5,0.5,0.34423542483661884,11
GPR15LG,6.191,4.79e-113,0,0,0,G protein-coupled receptor 15 ligand,Extracellular Space,cytokine,,,,,,,,,,,,,,,6.191,4.79e-113,112.31966448658544,0.7552271088680604,0.7166284202828747,0.0,0.0,0.0,0.33020252684433077,12
CXCL8,4.474,9.58e-18,1,1,1,C-X-C motif chemokine ligand 8,Extracellular Space,cytokine,,,,,,,,,,,,,,,4.474,9.58e-18,17.018634490921457,0.44574621485219906,0.08244732514569138,0.14285714285714285,0.5,0.5,0.3133325028282913,13
STAT1,3.222,1.9300000000000002e-29,1,1,1,signal transducer and activator of transcription 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,3.222,1.9300000000000002e-29,28.714442690992225,0.22007930785868784,0.16027712880230244,0.14285714285714285,0.5,0.5,0.28765657234374176,14
PTGS2,-2.42,7.6e-11,3,1,1,prostaglandin-endoperoxide synthase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.42,7.6e-11,10.119186407719209,0.07552271088680607,0.03653491956679661,0.42857142857142855,0.5,0.5,0.28495255778334605,15
CD274,2.85,2.5e-13,2,1,1,CD274 molecule,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.85,2.5e-13,12.602059991327963,0.15302811824080748,0.05305721201643564,0.2857142857142857,0.5,0.5,0.2760127837951275,16
MMP9,2.043,5.6e-12,3,1,1,matrix metallopeptidase 9,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.043,5.6e-12,11.2518119729938,0.007570295602018773,0.04407198103820874,0.42857142857142855,0.5,0.5,0.27324634009424165,17
APOL6,2.407,1.02e-19,2,1,1,apolipoprotein L6,Extracellular Space,transporter,,,,,,,,,,,,,,,2.407,1.02e-19,18.991399828238084,0.0731795241528479,0.09557510017734691,0.2857142857142857,0.5,0.5,0.2706725370177635,18
IGFL1,6.332,2.72e-72,0,0,0,IGF like family member 1,Extracellular Space,other,,,,,,,,,,,,,,,6.332,2.72e-72,71.5654310959658,0.7806416726748377,0.44542920696571064,0.0,0.0,0.0,0.2674856362763952,19
CCR7,3.012,8.26e-19,1,1,1,C-C motif chemokine receptor 7,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,3.012,8.26e-19,18.083019952679617,0.18222782984859415,0.08953028256825647,0.14285714285714285,0.5,0.5,0.2623995651832115,20
GBP1,2.226,2.69e-29,1,1,1,guanylate binding protein 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.226,2.69e-29,28.570247719997592,0.04055515501081469,0.15931758277617017,0.14285714285714285,0.5,0.5,0.2515118552676341,21
TNFAIP3,-2.179,1.1200000000000002e-21,1,1,1,TNF alpha induced protein 3,Nucleus,enzyme,,,,,,,,,,,,,,,2.179,1.1200000000000002e-21,20.950781977329818,0.03208363374188894,0.10861381672804715,0.14285714285714285,0.5,0.5,0.23714160950181815,22
HPSE,4.604,1.18e-85,0,0,0,heparanase,Plasma Membrane,enzyme,,,,,,,,,,,,,,,4.604,1.18e-85,84.92811799269387,0.46917808219178087,0.5343512617486218,0.0,0.0,0.0,0.22742343187551162,23
TCN1,6.396,3.18e-43,0,0,0,transcobalamin 1,Cytoplasm,transporter,,,,,,,,,,,,,,,6.396,3.18e-43,42.49757288001557,0.7921773612112473,0.2519970251989195,0.0,0.0,0.0,0.22143472854197932,24
GDA,4.804,1.18e-73,0,0,0,guanine deaminase,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.804,1.18e-73,72.92811799269387,0.5052271088680607,0.4544972125112479,0.0,0.0,0.0,0.2146697249014241,25
KYNU,4.796,1.11e-68,0,0,0,kynureninase,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.796,1.11e-68,67.95467702121334,0.5037851478010094,0.421401429159933,0.0,0.0,0.0,0.20610738685018515,26
TMPRSS11D,5.275,3.34e-56,0,0,0,transmembrane serine protease 11D,Extracellular Space,peptidase,,,,,,,,,,,,,,,5.275,3.34e-56,55.476253533188434,0.5901225666906993,0.338363708858471,0.0,0.0,0.0,0.2026154405527576,27
KLK6,5.654,1.0099999999999999e-46,0,0,0,kallikrein related peptidase 6,Cytoplasm,peptidase,,,,,,,,,,,,,,,5.654,1.0099999999999999e-46,45.995678626217355,0.6584354722422494,0.2752751842401477,0.0,0.0,0.0,0.20050589050848683,28
LCE3D,5.413,2.41e-47,0,0,0,late cornified envelope 3D,Cytoplasm,other,,,,,,,,,,,,,,,5.413,2.41e-47,46.617982957425134,0.6149963950973325,0.27941631096555575,0.0,0.0,0.0,0.19285335676085544,29
FCHSD1,4.041,4.78e-77,0,0,0,FCH and double SH3 domains 1,Plasma Membrane,other,,,,,,,,,,,,,,,4.041,4.78e-77,76.32057210338787,0.3677000720980534,0.47707231231048874,0.0,0.0,0.0,0.19280809249723285,30
IL36RN,2.719,1.02e-40,1,1,0,interleukin 36 receptor antagonist,Extracellular Space,cytokine,,,,,,,,,,,,,,,2.719,1.02e-40,39.99139982823808,0.12941600576784423,0.23531968634275124,0.14285714285714285,0.5,0.0,0.18828455131068522,31
AKR1B10,4.823,7.44e-57,0,0,0,aldo-keto reductase family 1 member B10,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.823,7.44e-57,56.12842706445412,0.5086517664023071,0.3427036002982212,0.0,0.0,0.0,0.18740625335501673,32
PLBD1,2.891,1.45e-96,0,0,0,phospholipase B domain containing 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.891,1.45e-96,95.83863199776502,0.16041816870944486,0.6069553219624559,0.0,0.0,0.0,0.18382246423250295,33
PRSS27,4.617,1.3000000000000002e-57,0,0,0,serine protease 27,Cytoplasm,peptidase,,,,,,,,,,,,,,,4.617,1.3000000000000002e-57,56.88605664769317,0.47152126892573903,0.34774524946852636,0.0,0.0,0.0,0.1812405661522794,34
CXCL9,5.643,2.13e-34,0,0,0,C-X-C motif chemokine ligand 9,Extracellular Space,cytokine,,,,,,,,,,,,,,,5.643,2.13e-34,33.67162039656126,0.656452775775054,0.19326468818387926,0.0,0.0,0.0,0.17960672720098064,35
KLK13,4.651,9.1e-51,0,0,0,kallikrein related peptidase 13,Extracellular Space,peptidase,,,,,,,,,,,,,,,4.651,9.1e-51,50.04095860767891,0.47764960346070656,0.3021945164750305,0.0,0.0,0.0,0.17107854981089893,36
MUC7,-4.423,1.1500000000000002e-47,0,0,0,"mucin 7, secreted",Cytoplasm,other,,,,,,,,,,,,,,,4.423,1.1500000000000002e-47,46.93930215964639,0.4365537130497476,0.28155453091514654,0.0,0.0,0.0,0.15769937533873618,37
RGS20,3.436,2.66e-68,0,0,0,regulator of G protein signaling 20,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.436,2.66e-68,67.57511836336893,0.2586517664023071,0.4188756545139347,0.0,0.0,0.0,0.1564492669089451,38
OASL,4.638,6.79e-42,0,0,0,2'-5'-oligoadenylate synthetase like,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.638,6.79e-42,41.1681302257195,0.4753064167267484,0.24315024360105092,0.0,0.0,0.0,0.1558488442456124,39
OAS2,4.58,9.260000000000001e-43,0,0,0,2'-5'-oligoadenylate synthetase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.58,9.260000000000001e-43,42.033389013318065,0.4648521989906273,0.2489081117533814,0.0,0.0,0.0,0.1551974677364708,40
ADAMDEC1,4.642,2.24e-41,0,0,0,ADAM like decysin 1,Extracellular Space,peptidase,,,,,,,,,,,,,,,4.642,2.24e-41,40.64975198166584,0.47602739726027404,0.2397006934490305,0.0,0.0,0.0,0.15513065281431243,41
FOS,-4.924,8.19e-35,0,0,0,"Fos proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator,,,,,,,,,,,,,,,4.924,8.19e-35,34.086716098239584,0.5268565248738284,0.19602694423388287,0.0,0.0,0.0,0.1543780410332364,42
LCN2,4.917,5.02e-34,0,0,0,lipocalin 2,Extracellular Space,transporter,,,,,,,,,,,,,,,4.917,5.02e-34,33.29929628285498,0.5255948089401585,0.19078705584153235,0.0,0.0,0.0,0.1528157257484148,43
ATP12A,4.871,4.62e-32,0,0,0,ATPase H+/K+ transporting non-gastric alpha2 subunit,Plasma Membrane,transporter,,,,,,,,,,,,,,,4.871,4.62e-32,31.335358024443874,0.5173035328046143,0.17771802064267211,0.0,0.0,0.0,0.1478902117215909,44
GDPD3,3.227,1.75e-66,0,0,0,glycerophosphodiester phosphodiesterase domain containing 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.227,1.75e-66,65.7569619513137,0.22098053352559482,0.4067767252098093,0.0,0.0,0.0,0.14589028800757128,45
KLK8,3.42,1e-59,0,0,0,kallikrein related peptidase 8,Extracellular Space,peptidase,,,,,,,,,,,,,,,3.42,1e-59,59.0,0.2557678442682047,0.3618124941802038,0.0,0.0,0.0,0.1416066923986919,46
ADAP2,2.715,8.159999999999999e-74,0,0,0,ArfGAP with dual PH domains 2,Cytoplasm,other,,,,,,,,,,,,,,,2.715,8.159999999999999e-74,73.08830984124614,0.12869502523431864,0.4555632098247245,0.0,0.0,0.0,0.13962980750304485,47
PI3,4.93,8.78e-26,0,0,0,peptidase inhibitor 3,Extracellular Space,other,,,,,,,,,,,,,,,4.93,8.78e-26,25.056505484093897,0.5279379956741168,0.13593537065006234,0.0,0.0,0.0,0.13957144179733894,48
S100A7A,5.223,2.14e-19,0,0,0,S100 calcium binding protein A7A,Cytoplasm,other,,,,,,,,,,,,,,,5.223,2.14e-19,18.66958622665081,0.5807498197548666,0.09343359024514636,0.0,0.0,0.0,0.13950836151225993,49
EPSTI1,4.117,1.91e-42,0,0,0,epithelial stromal interaction 1,Other,other,,,,,,,,,,,,,,,4.117,1.91e-42,41.71896663275227,0.38139870223503963,0.24681578673179527,0.0,0.0,0.0,0.13798368712995673,50
CLDN8,-3.679,2.4e-50,0,0,0,claudin 8,Plasma Membrane,other,,,,,,,,,,,,,,,3.679,2.4e-50,49.619788758288394,0.302451333813987,0.2993918399841532,0.0,0.0,0.0,0.1353382267588357,51
MMP12,4.715,1.57e-27,0,0,0,matrix metallopeptidase 12,Extracellular Space,peptidase,,,,,,,,,,,,,,,4.715,1.57e-27,26.804100347590765,0.4891852919971161,0.14756474783978407,0.0,0.0,0.0,0.13472824535936923,52
SERPINB3,4.741,2.02e-26,0,0,0,serpin family B member 3,Cytoplasm,other,,,,,,,,,,,,,,,4.741,2.02e-26,25.694648630553377,0.4938716654650324,0.14018189683655136,0.0,0.0,0.0,0.13381980730214432,53
DEFB4A,5.163,8.16e-17,0,0,0,defensin beta 4A,Extracellular Space,other,,,,,,,,,,,,,,,5.163,8.16e-17,16.08830984124614,0.5699351117519826,0.07625647594719843,0.0,0.0,0.0,0.13305114133719614,54
SPRR2D,4.66,1.85e-27,0,0,0,small proline rich protein 2D,Cytoplasm,other,,,,,,,,,,,,,,,4.66,1.85e-27,26.732828271596986,0.4792718096611392,0.14709046751764598,0.0,0.0,0.0,0.13262697881163935,55
SPRR2A,4.213,5.03e-37,0,0,0,small proline rich protein 2A,Cytoplasm,other,,,,,,,,,,,,,,,4.213,5.03e-37,36.29843201494407,0.3987022350396539,0.21074481687651647,0.0,0.0,0.0,0.1324266512270599,56
BMAL2,3.294,7.59e-56,0,0,0,basic helix-loop-helix ARNT like 2,Nucleus,transcription regulator,,,,,,,,,,,,,,,3.294,7.59e-56,55.11975822410452,0.23305695746214855,0.33599140936143107,0.0,0.0,0.0,0.1306092438327875,57
SERPINB4,5.086,6.73e-16,0,0,0,serpin family B member 4,Cytoplasm,other,,,,,,,,,,,,,,,5.086,6.73e-16,15.171984935776024,0.5560562364816151,0.07015878810396155,0.0,0.0,0.0,0.1287509443223134,58
CLEC7A,3.766,5.89e-44,0,0,0,C-type lectin domain containing 7A,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,3.766,5.89e-44,43.229884705212896,0.31813266041816873,0.25687019724445437,0.0,0.0,0.0,0.12784408139474734,59
HYAL4,3.513,2.79e-47,0,0,0,hyaluronidase 4,Plasma Membrane,enzyme,,,,,,,,,,,,,,,3.513,2.79e-47,46.5543957967264,0.27253064167267477,0.27899316994378065,0.0,0.0,0.0,0.12425442082048012,60
KLHDC7B-DT,4.003,1.24e-36,0,0,0,KLHDC7B divergent transcript,Other,other,,,,,,,,,,,,,,,4.003,1.24e-36,35.906578314837766,0.3608507570295602,0.20813722482133848,0.0,0.0,0.0,0.12420445761124665,61
CHRNA9,3.544,4.22e-46,0,0,0,cholinergic receptor nicotinic alpha 9 subunit,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,3.544,4.22e-46,45.37468754903833,0.2781182408074982,0.2711427965690623,0.0,0.0,0.0,0.12340934730376522,62
KRT77,-3.871,1.39e-38,0,0,0,keratin 77,Cytoplasm,other,,,,,,,,,,,,,,,3.871,1.39e-38,37.85698519974591,0.3370583994232155,0.22111621543970245,0.0,0.0,0.0,0.12269073374456872,63
TREX2,4.025,6.87e-35,0,0,0,three prime repair exonuclease 2,Nucleus,enzyme,,,,,,,,,,,,,,,4.025,6.87e-35,34.16304326294045,0.364816149963951,0.19653486366456385,0.0,0.0,0.0,0.12209694590893116,64
FBXO45,2.978,4.28e-57,0,0,0,F-box protein 45,Plasma Membrane,other,,,,,,,,,,,,,,,2.978,4.28e-57,56.368556230986826,0.17609949531362662,0.34430154082219055,0.0,0.0,0.0,0.12129528426827296,65
DUSP1,-3.064,4.39e-55,0,0,0,dual specificity phosphatase 1,Nucleus,phosphatase,,,,,,,,,,,,,,,3.064,4.39e-55,54.35753547975788,0.19160057678442682,0.3309191949816891,0.0,0.0,0.0,0.12104991410230764,66
OAS1,3.7,3.09e-41,0,0,0,2'-5'-oligoadenylate synthetase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.7,3.09e-41,40.510041520575164,0.30623648161499645,0.23877098961245458,0.0,0.0,0.0,0.12094004372611294,67
HERC6,3.715,7.52e-41,0,0,0,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.715,7.52e-41,40.12378215940836,0.3089401586157174,0.2362006251087037,0.0,0.0,0.0,0.12083818800031941,68
SPRR1A,3.568,5.14e-44,0,0,0,small proline rich protein 1A,Cytoplasm,other,,,,,,,,,,,,,,,3.568,5.14e-44,43.289036881004726,0.28244412400865176,0.2572638256409693,0.0,0.0,0.0,0.12080478121197268,69
RSAD2,4.097,5.48e-31,0,0,0,radical S-adenosyl methionine domain containing 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,4.097,5.48e-31,30.26121944151563,0.3777937995674117,0.17057016103526254,0.0,0.0,0.0,0.11820130017229799,70
SPRR2G,4.132,9.74e-30,0,0,0,small proline rich protein 2G,Cytoplasm,other,,,,,,,,,,,,,,,4.132,9.74e-30,29.011441043121383,0.38410237923576057,0.16225350555516416,0.0,0.0,0.0,0.11738385223594316,71
INA,3.015,6.979999999999999e-54,0,0,0,internexin neuronal intermediate filament protein alpha,Cytoplasm,other,,,,,,,,,,,,,,,3.015,6.979999999999999e-54,53.156144577376836,0.18276856524873836,0.32292453429235,0.0,0.0,0.0,0.11728484662283517,72
