Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
S100A8,3.312,1.54e-16,6,2,2,S100 calcium binding protein A8,Cytoplasm,other,,,,,,,,,,,,,,
CXCL10,5.102,2.65e-35,4,2,2,C-X-C motif chemokine ligand 10,Extracellular Space,cytokine,,,,,,,,,,,,,,
S100A9,4.62,4.21e-21,4,2,2,S100 calcium binding protein A9,Cytoplasm,other,,,,,,,,,,,,,,
CXCL1,3.403,3.8100000000000004e-21,2,2,2,C-X-C motif chemokine ligand 1,Extracellular Space,cytokine,,,,,,,,,,,,,,
LCK,2.718,5.86e-19,7,1,1,"LCK proto-oncogene, Src family tyrosine kinase",Cytoplasm,kinase,,,,,,,,,,,,,,
S100A12,7.079,2.4300000000000002e-107,4,1,1,S100 calcium binding protein A12,Cytoplasm,other,,,,,,,,,,,,,,
GAL,-3.283,1.32e-10,4,1,1,galanin and GMAP prepropeptide,Extracellular Space,other,,,,,,,,,,,,,,
IFI27,3.204,3.8900000000000003e-31,3,1,1,interferon alpha inducible protein 27,Cytoplasm,other,,,,,,,,,,,,,,
ISG15,3.319,1.6600000000000003e-27,3,1,1,ISG15 ubiquitin like modifier,Cytoplasm,other,,,,,,,,,,,,,,
MMP9,2.043,5.6e-12,3,1,1,matrix metallopeptidase 9,Extracellular Space,peptidase,,,,,,,,,,,,,,
PTGS2,-2.42,7.6e-11,3,1,1,prostaglandin-endoperoxide synthase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
APOL6,2.407,1.02e-19,2,1,1,apolipoprotein L6,Extracellular Space,transporter,,,,,,,,,,,,,,
CD274,2.85,2.5e-13,2,1,1,CD274 molecule,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
IL36G,4.579,2.5999999999999997e-42,1,1,1,interleukin 36 gamma,Extracellular Space,cytokine,,,,,,,,,,,,,,
STAT1,3.222,1.9300000000000002e-29,1,1,1,signal transducer and activator of transcription 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
GBP1,2.226,2.69e-29,1,1,1,guanylate binding protein 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
TNFAIP3,-2.179,1.1200000000000002e-21,1,1,1,TNF alpha induced protein 3,Nucleus,enzyme,,,,,,,,,,,,,,
CCR7,3.012,8.26e-19,1,1,1,C-C motif chemokine receptor 7,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
CXCL8,4.474,9.58e-18,1,1,1,C-X-C motif chemokine ligand 8,Extracellular Space,cytokine,,,,,,,,,,,,,,
IL36RN,2.719,1.02e-40,1,1,0,interleukin 36 receptor antagonist,Extracellular Space,cytokine,,,,,,,,,,,,,,
